No,l7-filter,l7-filter-group,host-name,l7-uri,,,,Thứ tự ưu tiên l7 filter group,,
1,f_l7_fb_01,fg_l7_facebook,*.facebook.com,NA,,,,Priority,l7-filter-group,Mục đích
2,f_l7_fb_02,fg_l7_facebook,*.fbcdn.net,NA,,,,10,fg_l7_facebook,"Facebook, Messenger, Instagram, WhatsApp"
3,f_l7_fb_03,fg_l7_facebook,*.messenger.com,NA,,,,20,fg_l7_youtube,Youtube và CDN Youtube
4,f_l7_fb_04,fg_l7_facebook,*.instagram.com,NA,,,,30,fg_l7_google,"Google Search, Google Services"
5,f_l7_fb_05,fg_l7_facebook,*.whatsapp.net,NA,,,,40,fg_l7_tiktok,TikTok
6,f_l7_google_01,fg_l7_google,*.google.com,NA,,,,50,fg_l7_zalo,"Zalo, ZaloPay, Zing"
7,f_l7_google_02,fg_l7_google,*.googleapis.com,NA,,,,60,fg_l7_netflix,Netflix
8,f_l7_google_03,fg_l7_google,*.gstatic.com,NA,,,,70,fg_l7_telegram,Telegram
9,f_l7_google_04,fg_l7_google,*.googleusercontent.com,NA,,,,80,fg_l7_teams,Microsoft Teams
10,f_l7_google_05,fg_l7_google,*.google.vn,NA,,,,90,fg_l7_office365,"Office365, Exchange Online"
11,f_l7_youtube_01,fg_l7_youtube,*.youtube.com,NA,,,,100,fg_l7_zoom,Zoom
12,f_l7_youtube_02,fg_l7_youtube,*.youtu.be,NA,,,,110,fg_l7_ai,"ChatGPT, Gemini, Claude"
13,f_l7_youtube_03,fg_l7_youtube,*.googlevideo.com,NA,,,,120,fg_l7_music,"Spotify, SoundCloud"
14,f_l7_youtube_04,fg_l7_youtube,*.ytimg.com,NA,,,,130,fg_l7_gov,"Chính phủ, cơ quan nhà nước"
15,f_l7_tiktok_01,fg_l7_tiktok,*.tiktok.com,NA,,,,140,fg_l7_doh,DNS-over-HTTPS
16,f_l7_tiktok_02,fg_l7_tiktok,*.tiktokcdn.com,NA,,,,900,fg_l7_http_default,HTTP Catch-All
17,f_l7_tiktok_03,fg_l7_tiktok,*.byteoversea.com,NA,,,,999,fg_l7_https_default,HTTPS Catch-All
18,f_l7_tiktok_04,fg_l7_tiktok,*.bytecdn.com,NA,,,,,,
19,f_l7_zalo_01,fg_l7_zalo,*.zalo.me,NA,,,,,,
20,f_l7_zalo_02,fg_l7_zalo,*.zalopay.vn,NA,,,,,,
21,f_l7_zalo_03,fg_l7_zalo,*.zing.vn,NA,,,,,,
22,f_l7_gov_01,fg_l7_gov,*.gov.vn,NA,,,,,,
23,f_l7_music_01,fg_l7_music,*.musical.com,NA,,,,,,
24,f_l7_music_02,fg_l7_music,*.spotify.com,NA,,,,,,
25,f_l7_music_03,fg_l7_music,*.soundcloud.com,NA,,,,,,
26,f_l7_doh_01,fg_l7_doh,dns.google,NA,,,,,,
27,f_l7_doh_02,fg_l7_doh,cloudflare-dns.com,NA,,,,,,
28,f_l7_doh_03,fg_l7_doh,dns.quad9.net,NA,,,,,,
29,f_l7_http_default,fg_l7_http_default,*,http://*,,,,,,
30,f_l7_https_default,fg_l7_https_default,*,NA,,,,,,
